======================== REPORT OF INPUTS - INCLUSION ANALYSIS ========================

       Label         |      Prediction      |        Input         |       p_value        |    Standard_error    |       In_model      
   pie_izquierdo     |        False         |     lambda_z_20     |       4.114089      |       0.489871      |        False        
   pie_izquierdo     |        False         |     lambda_yz_1     |      44.640200      |       0.315767      |        False        
   pie_izquierdo     |        False         |     lambda_yz_2     |      34.022754      |       0.710445      |        False        
   pie_izquierdo     |        False         |     lambda_yz_3     |      45.090993      |       0.216029      |        False        
   pie_izquierdo     |        False         |     lambda_yz_4     |      33.676105      |       0.834903      |        False        
   pie_izquierdo     |        False         |     lambda_yz_5     |      34.024886      |       0.506644      |        False        
   pie_izquierdo     |        False         |     lambda_yz_6     |      36.482997      |       0.849504      |        False        
   pie_izquierdo     |        False         |     lambda_yz_7     |      31.485567      |       0.923366      |        False        
   pie_izquierdo     |        False         |     lambda_yz_8     |      35.096732      |       0.981880      |        False        
   pie_izquierdo     |        False         |     lambda_yz_9     |      29.194807      |       0.385283      |        False        
   pie_izquierdo     |        False         |     lambda_yz_10    |      28.534940      |       0.824676      |        False        
   pie_izquierdo     |        False         |     lambda_yz_11    |      28.756800      |       0.327262      |        False        
   pie_izquierdo     |        False         |     lambda_yz_12    |      35.992705      |       0.394570      |        False        
   pie_izquierdo     |        False         |     lambda_yz_13    |      29.402993      |       0.485050      |        False        
   pie_izquierdo     |        False         |     lambda_yz_14    |      39.649318      |       0.741044      |        False        
   pie_izquierdo     |        False         |     lambda_yz_15    |      40.295524      |       0.013014      |         True        
   pie_izquierdo     |        False         |     lambda_yz_16    |      38.773286      |       0.265270      |        False        
   pie_izquierdo     |        False         |     lambda_yz_17    |      39.782385      |       0.833548      |        False        
   pie_izquierdo     |        False         |     lambda_yz_18    |      29.676493      |       0.673017      |        False        
   pie_izquierdo     |        False         |     lambda_yz_19    |      33.459506      |       0.495487      |        False        
   pie_izquierdo     |        False         |     lambda_yz_20    |      31.144130      |       0.496944      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_1    |      46.190834      |       0.528935      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_2    |      40.100789      |       0.593054      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_3    |      43.347151      |       0.937595      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_4    |      39.254542      |       0.004693      |         True        
   pie_izquierdo     |        False         |     lambda_xyz_5    |      46.089084      |       0.911263      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_6    |      40.458622      |       0.887485      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_7    |      41.054714      |       0.736116      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_8    |      35.998011      |       0.682876      |        False        
   pie_izquierdo     |        False         |     lambda_xyz_9    |      39.041146      |       0.567671      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_10    |      39.290762      |       0.954837      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_11    |      44.551788      |       0.882473      |        False        
   pie_izquierdo     |        False         |    lambda_xyz_12    |      38.879515      |       0.579223      |        False        
